id,name,type,symptom_keywords,cause_tags,diet_compatibility,lifestyle_tags,age_group_tags,gender_tags,food_sources,description,citation
1,Iron,mineral,"anemia, hair loss, pale skin, shortness of breath, dizziness","deficiency,blood","vegan|veg|nonveg","moderately_active","18-24|25-34","female","lentils, spinach, tofu","Supports oxygen transport and red blood cell production","https://ods.od.nih.gov/factsheets/Iron-HealthProfessional/"
2,Vitamin B12,vitamin,"numbness, memory loss, hair thinning, anemia, tingling","deficiency,neurological,blood","veg|nonveg","sedentary|moderately_active","25-34|35-50","all","eggs, dairy, fish","Supports nerve function and red blood cell formation","https://ods.od.nih.gov/factsheets/VitaminB12-HealthProfessional/"
3,Folate (Vitamin B9),vitamin,"anemia, mouth sores, poor concentration, pregnancy deficiency","deficiency,blood","vegan|veg|nonveg","moderately_active","18-24|25-34","female","spinach, beans, citrus fruits","Supports cell division and blood formation","https://ods.od.nih.gov/factsheets/Folate-HealthProfessional/"
4,Vitamin D,vitamin,"bone pain, frequent infections, muscle weakness, hair loss","deficiency,hormonal,immunity","veg|nonveg","sedentary|moderately_active","25-34|35-50","all","sunlight, mushrooms, fortified milk","Supports bone health and immune regulation","https://ods.od.nih.gov/factsheets/VitaminD-HealthProfessional/"
5,Zinc,mineral,"poor wound healing, acne, hair loss, loss of taste","deficiency,immunity,skin","vegan|veg|nonveg","active|moderately_active","18-24|25-34","all","pumpkin seeds, legumes","Supports immune response and skin repair","https://ods.od.nih.gov/factsheets/Zinc-HealthProfessional/"
6,Biotin (Vitamin B7),vitamin,"brittle nails, hair thinning, skin rash","deficiency,skin","vegan|veg|nonveg","sedentary","18-24|25-34","all","eggs, nuts, seeds","Supports hair, skin, and nail structure","https://ods.od.nih.gov/factsheets/Biotin-HealthProfessional/"
7,Vitamin A,vitamin,"night blindness, dry eyes, dry skin, frequent infections","deficiency,vision,immunity","veg|nonveg","sedentary","18-24|25-34","all","carrots, sweet potatoes, milk","Supports vision and immune defense","https://ods.od.nih.gov/factsheets/VitaminA-HealthProfessional/"
8,Vitamin C,vitamin,"bleeding gums, slow wound healing, frequent colds","immunity,collagen","vegan|veg|nonveg","active|moderately_active","18-24|25-34|35-50","all","oranges, kiwi, peppers","Supports collagen synthesis and immune defense","https://ods.od.nih.gov/factsheets/VitaminC-HealthProfessional/"
9,Magnesium,mineral,"muscle twitching, leg cramps, poor sleep, palpitations","neurological,muscle","vegan|veg|nonveg","active|moderately_active","18-24|25-34|35-50","all","spinach, almonds","Supports nerve and muscle relaxation","https://ods.od.nih.gov/factsheets/Magnesium-HealthProfessional/"
10,Calcium,mineral,"bone fractures, tooth weakness, muscle spasms","deficiency,bone","veg|nonveg","sedentary|moderately_active","25-34|35-50","all","milk, yogurt, leafy greens","Supports bone density and muscle contraction","https://ods.od.nih.gov/factsheets/Calcium-HealthProfessional/"
11,Iodine,mineral,"neck swelling, weight gain, cold intolerance, hair loss","hormonal,thyroid","veg|nonveg","sedentary","25-34|35-50","all","iodized salt, seaweed","Supports thyroid hormone production","https://ods.od.nih.gov/factsheets/Iodine-HealthProfessional/"
12,Selenium,mineral,"thyroid imbalance, brittle hair, weak immunity","hormonal,antioxidant","vegan|veg|nonveg","moderately_active","25-34|35-50","all","brazil nuts, seafood","Supports thyroid and antioxidant enzymes","https://ods.od.nih.gov/factsheets/Selenium-HealthProfessional/"
13,Protein,macronutrient,"muscle wasting, slow healing, hair thinning","deficiency,muscle","veg|nonveg","active","18-24|25-34","all","eggs, lentils, beans","Supports tissue repair and growth","https://medlineplus.gov/protein.html"
14,Omega-3,fatty acid,"joint stiffness, dry eyes, memory problems","inflammation,neurological","nonveg","active|moderately_active","25-34|35-50","all","fish, flaxseed, chia seeds","Supports brain and joint health","https://ods.od.nih.gov/factsheets/Omega3FattyAcids-HealthProfessional/"
15,Probiotics,supplement,"bloating, diarrhea, weak immunity, gut imbalance","digestive,immunity","veg|nonveg","sedentary|moderately_active","18-24|25-34","all","yogurt, fermented foods","Supports healthy gut bacteria","https://medlineplus.gov/probiotics.html"
16,Psyllium Husk,fiber,"chronic constipation, hard stools","digestive","vegan|veg|nonveg","sedentary","18-24|25-34","all","psyllium husk","Improves bowel regularity","https://medlineplus.gov/druginfo/natural/1007.html"
17,Ginger Extract,phytonutrient,"nausea, motion sickness, stomach cramps","digestive,inflammation","vegan|veg|nonveg","sedentary|moderately_active","25-34|35-50","all","ginger root","Supports digestion and reduces nausea","https://medlineplus.gov/druginfo/natural/961.html"
18,Peppermint Oil,herbal,"irritable bowel, abdominal pain, bloating","digestive","vegan|veg|nonveg","sedentary|moderately_active","25-34|35-50","all","peppermint leaves","Relieves gut spasms and bloating","https://medlineplus.gov/druginfo/natural/308.html"
19,Curcumin,polyphenol,"joint swelling, chronic inflammation, arthritis","inflammation,joint","vegan|veg|nonveg","active|moderately_active","25-34|35-50","all","turmeric","Reduces inflammatory pathways","https://medlineplus.gov/druginfo/natural/662.html"
20,Coenzyme Q10,antioxidant,"muscle pain, statin side effects, low stamina","mitochondrial,antioxidant","nonveg","active|moderately_active","25-34|35-50","all","meat, fish","Supports cellular energy production","https://medlineplus.gov/druginfo/natural/938.html"
21,Melatonin,hormone,"difficulty falling asleep, jet lag, disrupted sleep cycle","sleep,hormonal","vegan|veg|nonveg","sedentary|moderately_active","25-34|35-50","all","supplement form","Regulates circadian rhythm and sleep timing","https://medlineplus.gov/druginfo/natural/940.html"
22,L-Theanine,amino acid,"racing thoughts, nervousness, poor focus","neurological,stress","vegan|veg|nonveg","sedentary|moderately_active","25-34|35-50","all","green tea","Promotes relaxation without drowsiness","https://medlineplus.gov/druginfo/natural/1059.html"
23,Ashwagandha,adaptogen,"chronic stress, anxiety, poor sleep quality","stress,hormonal","vegan|veg|nonveg","sedentary|moderately_active","25-34|35-50","all","ashwagandha root","Balances cortisol and stress response","https://medlineplus.gov/druginfo/natural/953.html"
24,Rhodiola,adaptogen,"mental exhaustion, burnout, poor concentration","stress,neurological","vegan|veg|nonveg","active|moderately_active","25-34|35-50","all","rhodiola root","Improves resilience to mental fatigue","https://medlineplus.gov/druginfo/natural/883.html"
25,Chamomile,herbal,"restlessness, mild insomnia, stomach nervousness","sleep,digestive","vegan|veg|nonveg","sedentary|moderately_active","25-34|35-50","all","chamomile flowers","Calms nervous system and aids sleep","https://medlineplus.gov/druginfo/natural/944.html"
26,Ginkgo Biloba,herbal,"poor memory, cold hands, poor circulation","circulation,neurological","vegan|veg|nonveg","sedentary|moderately_active","35-50","all","ginkgo leaves","Improves blood flow to brain and extremities","https://medlineplus.gov/druginfo/natural/333.html"
27,Lion's Mane Mushroom,medicinal mushroom,"brain fog, poor memory, slow thinking","neurological,cognition","vegan|veg|nonveg","sedentary|moderately_active","25-34|35-50","all","lion's mane mushroom","Supports nerve growth and cognition","https://medlineplus.gov/druginfo/natural/1084.html"
28,Phosphatidylserine,phospholipid,"forgetfulness, difficulty concentrating","neurological,cognition","veg|nonveg","sedentary|moderately_active","35-50","all","soy, fish","Supports brain cell membrane function","https://medlineplus.gov/druginfo/natural/1103.html"
29,Potassium,mineral,"heart palpitations, muscle weakness, dehydration","electrolyte,cardiac","vegan|veg|nonveg","active","18-24|25-34","all","bananas, potatoes, beans","Maintains fluid balance and heart rhythm","https://ods.od.nih.gov/factsheets/Potassium-HealthProfessional/"
30,Sodium,electrolyte,"low blood pressure, dizziness, dehydration","electrolyte,hydration","vegan|veg|nonveg","active","18-24|25-34","all","salt, soups","Supports nerve impulses and hydration","https://ods.od.nih.gov/factsheets/Sodium-HealthProfessional/"
31,Electrolyte Mix,electrolyte,"heat exhaustion, muscle cramps, heavy sweating","electrolyte,hydration","vegan|veg|nonveg","active","18-24|25-34","all","sports drinks, fruits","Restores hydration and mineral balance","https://medlineplus.gov/fluidsandelectrolytes.html"
32,Chromium,mineral,"high blood sugar, sugar cravings, insulin resistance","metabolic,blood sugar","vegan|veg|nonveg","sedentary|moderately_active","25-34|35-50","all","whole grains, broccoli","Improves insulin sensitivity","https://ods.od.nih.gov/factsheets/Chromium-HealthProfessional/"
33,Berberine,alkaloid,"prediabetes, metabolic syndrome, high cholesterol","metabolic,blood sugar","vegan|veg|nonveg","sedentary|moderately_active","25-34|35-50","all","barberry","Regulates blood glucose and lipids","https://medlineplus.gov/druginfo/natural/1126.html"
34,Milk Thistle,herbal,"fatty liver, elevated liver enzymes","liver,detox","vegan|veg|nonveg","sedentary","25-34|35-50","all","milk thistle seeds","Protects liver cells and supports detoxification","https://medlineplus.gov/druginfo/natural/138.html"
35,N-Acetyl Cysteine (NAC),amino acid derivative,"toxin exposure, chronic cough, oxidative stress","detox,antioxidant","veg|nonveg","sedentary|moderately_active","25-34|35-50","all","supplement form","Boosts glutathione and detox enzymes","https://medlineplus.gov/druginfo/natural/1019.html"
36,Lutein,carotenoid,"eye strain, screen fatigue, poor night vision","vision,antioxidant","vegan|veg|nonveg","sedentary","25-34|35-50","all","spinach, kale","Protects retina and visual acuity","https://ods.od.nih.gov/factsheets/LuteinZeaxanthin-HealthProfessional/"
37,Zeaxanthin,carotenoid,"blurred vision, light sensitivity","vision,antioxidant","vegan|veg|nonveg","sedentary","25-34|35-50","all","corn, eggs","Supports macular health","https://ods.od.nih.gov/factsheets/LuteinZeaxanthin-HealthProfessional/"
38,Collagen Peptides,protein,"joint stiffness, skin sagging, slow wound healing","collagen,healing","nonveg","sedentary|moderately_active","35-50","all","bone broth","Improves skin and joint connective tissue","https://medlineplus.gov/druginfo/natural/1055.html"
39,Hyaluronic Acid,compound,"dry skin, joint lubrication loss","hydration,collagen","vegan|veg|nonveg","sedentary","35-50","all","supplement form","Maintains skin moisture and joint cushioning","https://medlineplus.gov/druginfo/natural/1094.html"
40,Evening Primrose Oil,fatty acid,"premenstrual pain, hormonal acne, breast tenderness","hormonal,inflammation","nonveg","sedentary|moderately_active","25-34|35-50","female","evening primrose seeds","Supports hormonal balance and skin health","https://medlineplus.gov/druginfo/natural/274.html"
41,Vitamin C (High Dose),vitamin,"recurrent infections, slow wound healing, gum bleeding","immunity,collagen","vegan|veg|nonveg","active|moderately_active","18-24|25-34|35-50","all","citrus fruits, peppers","Enhances immune response and tissue repair","https://ods.od.nih.gov/factsheets/VitaminC-HealthProfessional/"
42,Quercetin,flavonoid,"seasonal allergies, sneezing, itchy eyes","immunity,allergy","vegan|veg|nonveg","sedentary|moderately_active","25-34|35-50","all","onions, apples","Stabilizes mast cells and reduces allergy symptoms","https://medlineplus.gov/druginfo/natural/294.html"
43,Reishi Mushroom,medicinal mushroom,"frequent illness, poor sleep, low immunity","immunity,sleep","vegan|veg|nonveg","sedentary|moderately_active","25-34|35-50","all","reishi mushroom","Strengthens immune defenses and promotes calmness","https://medlineplus.gov/druginfo/natural/1154.html"
44,Turkey Tail Mushroom,medicinal mushroom,"chronic infections, weak immune response","immunity","vegan|veg|nonveg","sedentary|moderately_active","25-34|35-50","all","turkey tail mushroom","Supports immune cell activity","https://medlineplus.gov/druginfo/natural/1175.html"
45,Echinacea,herbal,"sore throat, early cold symptoms","immunity,infection","vegan|veg|nonveg","sedentary|moderately_active","18-24|25-34","all","echinacea herb","Stimulates immune response against infections","https://medlineplus.gov/druginfo/natural/981.html"
46,Garlic Extract,phytonutrient,"frequent colds, high blood pressure","immunity,cardiac","vegan|veg|nonveg","sedentary|moderately_active","25-34|35-50","all","garlic","Supports immune and cardiovascular health","https://medlineplus.gov/druginfo/natural/300.html"
47,Omega-3 (High EPA/DHA),fatty acid,"high triglycerides, heart inflammation","cardiac,inflammation","nonveg","active|moderately_active","25-34|35-50","all","fish oil","Reduces cardiovascular inflammation","https://ods.od.nih.gov/factsheets/Omega3FattyAcids-HealthProfessional/"
48,Plant Sterols,compound,"high cholesterol, arterial plaque","cardiac,metabolic","vegan|veg|nonveg","sedentary","35-50","all","vegetable oils, nuts","Lowers LDL cholesterol absorption","https://medlineplus.gov/druginfo/natural/1111.html"
49,Magnesium Glycinate,mineral,"heart rhythm irregularity, night cramps","cardiac,neurological","vegan|veg|nonveg","sedentary|moderately_active","25-34|35-50","all","magnesium supplement","Supports cardiac rhythm and muscle relaxation","https://ods.od.nih.gov/factsheets/Magnesium-HealthProfessional/"
50,Coenzyme Q10 (Heart),antioxidant,"statin muscle pain, heart weakness","cardiac,mitochondrial","nonveg","active|moderately_active","35-50","all","meat, fish","Supports heart muscle energy","https://medlineplus.gov/druginfo/natural/938.html"
51,Butterbur,herbal,"migraine headaches, nasal allergies","neurological,allergy","vegan|veg|nonveg","sedentary","25-34|35-50","all","butterbur root","Reduces migraine frequency","https://medlineplus.gov/druginfo/natural/649.html"
52,Magnesium Citrate,mineral,"tension headaches, constipation","neurological,digestive","vegan|veg|nonveg","sedentary|moderately_active","18-24|25-34","all","magnesium supplement","Relieves headaches and improves bowel movement","https://ods.od.nih.gov/factsheets/Magnesium-HealthProfessional/"
53,Riboflavin (Vitamin B2),vitamin,"migraine attacks, light sensitivity","neurological","vegan|veg|nonveg","sedentary","18-24|25-34","all","milk, eggs, greens","Supports nerve energy metabolism","https://ods.od.nih.gov/factsheets/Riboflavin-HealthProfessional/"
54,Pycnogenol,polyphenol,"poor circulation, leg swelling","circulation,antioxidant","vegan|veg|nonveg","sedentary|moderately_active","35-50","all","pine bark","Improves blood vessel function","https://medlineplus.gov/druginfo/natural/733.html"
55,Cranberry Extract,phytonutrient,"recurrent urinary tract infections","urinary,immunity","vegan|veg|nonveg","sedentary","25-34|35-50","female","cranberries","Prevents bacterial adhesion in urinary tract","https://medlineplus.gov/druginfo/natural/958.html"
56,D-Mannose,sugar,"burning urination, bladder infections","urinary,infection","vegan|veg|nonveg","sedentary","25-34|35-50","female","supplement form","Blocks bacterial attachment in bladder","https://medlineplus.gov/druginfo/natural/1001.html"
57,Saw Palmetto,herbal,"frequent urination, prostate enlargement","urinary,hormonal","vegan|veg|nonveg","sedentary","35-50","male","saw palmetto berries","Supports prostate health","https://medlineplus.gov/druginfo/natural/971.html"
58,Stinging Nettle,herbal,"hay fever, joint stiffness","allergy,inflammation","vegan|veg|nonveg","sedentary|moderately_active","25-34|35-50","all","nettle leaves","Reduces allergic inflammation","https://medlineplus.gov/druginfo/natural/664.html"
59,Vitamin E (Skin),vitamin,"eczema, dry irritated skin","skin,antioxidant","vegan|veg|nonveg","sedentary","25-34|35-50","all","nuts, seeds","Protects skin cells from oxidative damage","https://ods.od.nih.gov/factsheets/VitaminE-HealthProfessional/"
60,Aloe Vera Extract,herbal,"acid reflux, stomach ulcers","digestive,inflammation","vegan|veg|nonveg","sedentary","25-34|35-50","all","aloe vera gel","Soothes digestive tract lining","https://medlineplus.gov/druginfo/natural/607.html"
61,Iron (Pregnancy),mineral,"pregnancy anemia, low hemoglobin, shortness of breath","deficiency,blood,pregnancy","vegan|veg|nonveg","moderately_active","18-24|25-34","female","lentils, spinach, tofu","Prevents anemia during pregnancy","https://ods.od.nih.gov/factsheets/Iron-HealthProfessional/"
62,Choline,nutrient,"poor fetal brain development, memory problems","pregnancy,neurological","veg|nonveg","sedentary|moderately_active","25-34","female","eggs, soybeans","Supports brain development and memory","https://ods.od.nih.gov/factsheets/Choline-HealthProfessional/"
63,Folic Acid (Pregnancy),vitamin,"neural tube defects, pregnancy deficiency","pregnancy,deficiency","vegan|veg|nonveg","moderately_active","18-24|25-34","female","leafy greens, beans","Prevents birth defects","https://ods.od.nih.gov/factsheets/Folate-HealthProfessional/"
64,Vitamin B6 (Nausea),vitamin,"morning sickness, pregnancy nausea","pregnancy,digestive","vegan|veg|nonveg","sedentary","18-24|25-34","female","bananas, chickpeas","Reduces nausea during pregnancy","https://ods.od.nih.gov/factsheets/VitaminB6-HealthProfessional/"
65,Zinc (Male Fertility),mineral,"low sperm count, infertility","reproductive,hormonal","vegan|veg|nonveg","active","25-34|35-50","male","pumpkin seeds, legumes","Supports sperm production","https://ods.od.nih.gov/factsheets/Zinc-HealthProfessional/"
66,Maca Root,adaptogen,"low libido, hormonal imbalance","reproductive,hormonal","vegan|veg|nonveg","active|moderately_active","25-34|35-50","all","maca root","Supports libido and hormone balance","https://medlineplus.gov/druginfo/natural/555.html"
67,Vitex (Chasteberry),herbal,"irregular periods, PMS, breast pain","reproductive,hormonal","vegan|veg|nonveg","sedentary","25-34|35-50","female","chasteberry","Regulates menstrual hormones","https://medlineplus.gov/druginfo/natural/968.html"
68,Vitamin D (Bone Density),vitamin,"osteoporosis, bone fractures","bone,deficiency","veg|nonveg","sedentary|moderately_active","35-50","all","sunlight, fortified milk","Improves calcium absorption and bone density","https://ods.od.nih.gov/factsheets/VitaminD-HealthProfessional/"
69,Calcium (Osteoporosis),mineral,"bone thinning, hip fractures","bone,deficiency","veg|nonveg","sedentary|moderately_active","35-50","all","milk, yogurt","Maintains skeletal strength","https://ods.od.nih.gov/factsheets/Calcium-HealthProfessional/"
70,Boron,mineral,"joint stiffness, bone weakness","bone,joint","vegan|veg|nonveg","sedentary","35-50","all","nuts, fruits","Supports bone and joint metabolism","https://ods.od.nih.gov/factsheets/Boron-HealthProfessional/"
71,Glucosamine,compound,"knee pain, cartilage loss","joint,cartilage","nonveg","sedentary|moderately_active","35-50","all","shellfish","Supports cartilage repair","https://medlineplus.gov/druginfo/natural/807.html"
72,Chondroitin,compound,"osteoarthritis, joint swelling","joint,cartilage","nonveg","sedentary|moderately_active","35-50","all","animal cartilage","Reduces joint inflammation","https://medlineplus.gov/druginfo/natural/807.html"
73,Boswellia,herbal,"chronic arthritis pain, joint inflammation","joint,inflammation","vegan|veg|nonveg","sedentary|moderately_active","35-50","all","boswellia resin","Blocks inflammatory pathways","https://medlineplus.gov/druginfo/natural/63.html"
74,Vitamin K2,vitamin,"arterial calcification, bone weakness","bone,cardiac","veg|nonveg","sedentary","35-50","all","fermented foods","Directs calcium to bones","https://ods.od.nih.gov/factsheets/VitaminK-HealthProfessional/"
75,Vitamin A (Skin Healing),vitamin,"slow wound healing, scar formation","skin,healing","veg|nonveg","sedentary","18-24|25-34","all","carrots, dairy","Promotes skin repair","https://ods.od.nih.gov/factsheets/VitaminA-HealthProfessional/"
76,Vitamin C (Wound Healing),vitamin,"non-healing wounds, bruising","skin,collagen","vegan|veg|nonveg","active|moderately_active","18-24|25-34|35-50","all","citrus fruits","Boosts collagen synthesis","https://ods.od.nih.gov/factsheets/VitaminC-HealthProfessional/"
77,Silica,mineral,"brittle hair, weak connective tissue","collagen,skin","vegan|veg|nonveg","sedentary","25-34|35-50","all","whole grains, horsetail","Strengthens hair and connective tissue","https://ods.od.nih.gov/factsheets/Silicon-HealthProfessional/"
78,Vitamin B5 (Acne),vitamin,"severe acne, oily skin","skin,metabolic","vegan|veg|nonveg","sedentary","18-24|25-34","all","mushrooms, avocados","Regulates oil production","https://ods.od.nih.gov/factsheets/PantothenicAcid-HealthProfessional/"
79,Omega-6 (GLA),fatty acid,"psoriasis, eczema flare-ups","skin,inflammation","nonveg","sedentary|moderately_active","25-34|35-50","all","evening primrose oil","Reduces skin inflammation","https://medlineplus.gov/druginfo/natural/274.html"
80,Nettle Leaf,herbal,"asthma symptoms, respiratory allergies","respiratory,allergy","vegan|veg|nonveg","sedentary|moderately_active","25-34|35-50","all","nettle leaves","Reduces airway inflammation","https://medlineplus.gov/druginfo/natural/664.html"
81,Potassium Citrate,mineral,"kidney stones, painful urination","urinary,kidney","vegan|veg|nonveg","sedentary|moderately_active","25-34|35-50","all","citrus fruits","Prevents kidney stone formation","https://ods.od.nih.gov/factsheets/Potassium-HealthProfessional/"
82,Magnesium Oxide,mineral,"muscle spasms, kidney stone prevention","kidney,muscle","vegan|veg|nonveg","sedentary|moderately_active","25-34|35-50","all","magnesium supplement","Reduces kidney stone recurrence","https://ods.od.nih.gov/factsheets/Magnesium-HealthProfessional/"
83,Artichoke Extract,phytonutrient,"gallbladder pain, poor fat digestion","digestive,liver","vegan|veg|nonveg","sedentary","25-34|35-50","all","artichoke","Supports bile flow and liver function","https://medlineplus.gov/druginfo/natural/838.html"
84,Pancreatic Enzymes,enzyme,"fat malabsorption, greasy stools","digestive,pancreas","nonveg","sedentary","35-50","all","supplement form","Improves nutrient digestion","https://medlineplus.gov/druginfo/natural/161.html"
85,Alpha-Lipoic Acid,antioxidant,"nerve pain, diabetic neuropathy","neurological,antioxidant","veg|nonveg","sedentary|moderately_active","35-50","all","spinach, broccoli","Protects nerves and improves glucose metabolism","https://medlineplus.gov/druginfo/natural/767.html"
86,Vitamin B1 (Thiamine),vitamin,"peripheral neuropathy, memory loss","neurological,deficiency","vegan|veg|nonveg","sedentary","25-34|35-50","all","whole grains, beans","Supports nerve conduction","https://ods.od.nih.gov/factsheets/Thiamin-HealthProfessional/"
87,Acetyl-L-Carnitine,amino acid,"brain fog, nerve degeneration","neurological,cognition","nonveg","active|moderately_active","35-50","all","meat, dairy","Supports nerve and brain energy","https://medlineplus.gov/druginfo/natural/1022.html"
88,Resveratrol,polyphenol,"chronic inflammation, cellular aging","antioxidant,aging","vegan|veg|nonveg","moderately_active","35-50","all","grapes, berries","Protects cells from oxidative damage","https://medlineplus.gov/druginfo/natural/307.html"
89,Turmeric Extract (Immune),polyphenol,"autoimmune flare-ups, joint swelling","immunity,inflammation","vegan|veg|nonveg","sedentary|moderately_active","25-34|35-50","all","turmeric","Modulates immune inflammation","https://medlineplus.gov/druginfo/natural/662.html"
90,Omega-3 (Autoimmune),fatty acid,"autoimmune inflammation, joint stiffness","immunity,inflammation","nonveg","moderately_active","25-34|35-50","all","fish oil","Reduces autoimmune inflammation","https://ods.od.nih.gov/factsheets/Omega3FattyAcids-HealthProfessional/"
91,Ginkgo Biloba (Tinnitus),herbal,"ringing in ears, poor hearing","neurological,circulation","vegan|veg|nonveg","sedentary","35-50","all","ginkgo leaves","Improves inner ear blood flow","https://medlineplus.gov/druginfo/natural/333.html"
92,Zinc (Taste & Smell),mineral,"loss of smell, loss of taste","neurological,deficiency","vegan|veg|nonveg","sedentary","25-34|35-50","all","pumpkin seeds, legumes","Supports sensory nerve function","https://ods.od.nih.gov/factsheets/Zinc-HealthProfessional/"
93,Coenzyme Q10 (Aging),antioxidant,"cellular aging, low stamina","mitochondrial,aging","nonveg","active|moderately_active","35-50","all","meat, fish","Supports cellular energy production","https://medlineplus.gov/druginfo/natural/938.html"
94,Vitamin K (Gums),vitamin,"bleeding gums, easy bruising","blood,oral","veg|nonveg","sedentary","25-34|35-50","all","leafy greens","Supports blood clotting and gum health","https://ods.od.nih.gov/factsheets/VitaminK-HealthProfessional/"
95,Calcium (Teeth),mineral,"tooth decay, weak enamel","oral,bone","veg|nonveg","sedentary","25-34|35-50","all","milk, cheese","Strengthens teeth and jawbone","https://ods.od.nih.gov/factsheets/Calcium-HealthProfessional/"
96,Fluoride,mineral,"cavity formation, enamel erosion","oral","vegan|veg|nonveg","sedentary","18-24|25-34","all","fluoridated water, tea","Protects tooth enamel","https://ods.od.nih.gov/factsheets/Fluoride-HealthProfessional/"
97,Electrolyte Solution,compound,"heat exhaustion, dehydration","hydration,temperature","vegan|veg|nonveg","active","18-24|25-34","all","sports drinks","Restores fluids and minerals","https://medlineplus.gov/fluidsandelectrolytes.html"
98,Oral Rehydration Salts (ORS),compound,"diarrhea dehydration, vomiting","hydration,digestive","vegan|veg|nonveg","sedentary|moderately_active","18-24|25-34","all","ORS packets","Prevents dehydration from illness","https://medlineplus.gov/fluidsandelectrolytes.html"
99,Vitamin E (Aging),vitamin,"wrinkles, skin aging","skin,antioxidant","vegan|veg|nonveg","sedentary","35-50","all","nuts, seeds","Protects skin from oxidative aging","https://ods.od.nih.gov/factsheets/VitaminE-HealthProfessional/"
100,Green Tea Extract,polyphenol,"cell damage, oxidative stress","antioxidant,metabolic","vegan|veg|nonveg","moderately_active","25-34|35-50","all","green tea","Provides antioxidant protection","https://medlineplus.gov/druginfo/natural/960.html"
